arquivo,categoria,fonte,url,url_imagem,autor,licenca,data_coleta
ambrotipo_mulher_1857.jpg,ambrótipo,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Ambrotype_of_a_woman,_approximately_1857-1858_(PORTRAITS_1653).jpg",https://upload.wikimedia.org/wikipedia/commons/2/25/Ambrotype_of_a_woman%2C_approximately_1857-1858_%28PORTRAITS_1653%29.jpg,Autor desconhecido,Public domain,2026-06-26
ambrotipo_duas_criancas.jpg,ambrótipo,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:An_ambrotype_of_two_children.jpg,https://upload.wikimedia.org/wikipedia/commons/2/29/An_ambrotype_of_two_children.jpg,Autor desconhecido,Public domain,2026-06-26
cdv_estudio_abdms.jpg,carte de visite,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Carte_de_Visite_Studio_Portrait_-_ABDMS083180.jpg,https://upload.wikimedia.org/wikipedia/commons/4/43/Carte_de_Visite_Studio_Portrait_-_ABDMS083180.jpg,Autor desconhecido,Public domain,2026-06-26
cdv_nordahl_1882.jpg,carte de visite,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:1882-1883_Wilhelm_Nordahl_(Humboldtstra%C3%9Fe_1A_in_Hannover)_Carte_de_Visite_Portrait_Brustbild_eines_ungenannten_Mannes,_Avers.jpg",https://upload.wikimedia.org/wikipedia/commons/e/ed/1882-1883_Wilhelm_Nordahl_%28Humboldtstra%C3%9Fe_1A_in_Hannover%29_Carte_de_Visite_Portrait_Brustbild_eines_ungenannten_Mannes%2C_Avers.jpg,Wilhelm Nordahl,CC0,2026-06-26
cdv_minerva_washburn.jpg,carte de visite,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Minerva_(Emma)_Carte_de_Visite_by_W_W_Washburn,_New_Orleans.jpg",https://upload.wikimedia.org/wikipedia/commons/4/45/Minerva_%28Emma%29_Carte_de_Visite_by_W_W_Washburn%2C_New_Orleans.jpg,W. W. Washburn (Nova Orleans),Public domain,2026-06-26
cabinet_olive_stewart_1860.jpg,cabinet card,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Cabinet_card_portrait_of_Olive_Bell_Stewart,_circa_1860_(MOHAI_8998).jpg",https://upload.wikimedia.org/wikipedia/commons/7/7b/Cabinet_card_portrait_of_Olive_Bell_Stewart%2C_circa_1860_%28MOHAI_8998%29.jpg,Morse,Public domain,2026-06-26
cabinet_casal_japones.jpg,cabinet card,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Cabinet_card_portrait_of_a_Japanese_couple_holding_hands_(16733322712).jpg,https://upload.wikimedia.org/wikipedia/commons/b/bc/Cabinet_card_portrait_of_a_Japanese_couple_holding_hands_%2816733322712%29.jpg,simpleinsomnia,CC BY 2.0,2026-06-26
met_christiano_vendedores_1.jpg,carte de visite,The Met,https://www.metmuseum.org/art/collection/search/764812,https://images.metmuseum.org/CRDImages/ph/original/DP-15801-125.jpg,Christiano Junior,CC0,2026-06-26
met_christiano_vendedor_homem.jpg,carte de visite,The Met,https://www.metmuseum.org/art/collection/search/764810,https://images.metmuseum.org/CRDImages/ph/original/DP-15801-121.jpg,Christiano Junior,CC0,2026-06-26
met_christiano_mulher.jpg,carte de visite,The Met,https://www.metmuseum.org/art/collection/search/764811,https://images.metmuseum.org/CRDImages/ph/original/DP-15801-123.jpg,Christiano Junior,CC0,2026-06-26
